Source,Target,weight
college & research libraries,information processing & management,0.026122457683452574
college & research libraries,journal of academic librarianship,0.016155847834440386
college & research libraries,journal of documentation,0.029685323980877733
college & research libraries,law library journal,0.028785546375871263
college & research libraries,library and information science,0.02721135658046466
college & research libraries,library quarterly,0.06324962942194605
college & research libraries,library resources & technical services,0.09750213288248546
college & research libraries,library trends,0.09980530677088804
college & research libraries,scientometrics,0.007054723704854005
college & research libraries,zeitschrift fur bibliothekswesen und bibliographie,0.013463206528700325
information processing & management,journal of academic librarianship,0.008084520834544433
information processing & management,journal of documentation,0.18350026551384158
information processing & management,journal of information science,0.017236256333167305
information processing & management,law library journal,0.014404527190048097
information processing & management,library and information science,0.051062960637854184
information processing & management,library quarterly,0.08018162496124089
information processing & management,library resources & technical services,0.032527252991353256
information processing & management,library trends,0.023782574707724706
information processing & management,mis quarterly,0.0033685503477268466
information processing & management,scientometrics,0.014120970030991201
journal of academic librarianship,library quarterly,0.01043991501943761
journal of academic librarianship,library resources & technical services,0.012379689211803458
journal of academic librarianship,library trends,0.023533936216582084
journal of documentation,journal of information science,0.036869883038546866
journal of documentation,library and information science,0.040050342814610715
journal of documentation,library quarterly,0.040622119738953424
journal of documentation,library resources & technical services,0.024084928687475093
journal of documentation,library trends,0.015261911824935984
journal of documentation,scientometrics,0.025171674142856027
journal of information science,library trends,0.016724840200141814
journal of information science,scientometrics,0.03723907684645208
law library journal,library and information science,0.015004971220211456
law library journal,library quarterly,0.01395092326777534
law library journal,library resources & technical services,0.011028703710788115
law library journal,library trends,0.013977131156292243
library and information science,library quarterly,0.03516797795756236
library and information science,library resources & technical services,0.020851158103853486
library and information science,library trends,0.04954787398762882
library and information science,scientometrics,0.029419188303921547
library quarterly,library resources & technical services,0.09693217750370751
library quarterly,library trends,0.09827691766959282
library quarterly,mis quarterly,0.0043499645914323384
library quarterly,scientometrics,0.012156707048169848
library quarterly,zeitschrift fur bibliothekswesen und bibliographie,0.017399858365729354
library resources & technical services,library trends,0.06069642006076915
library resources & technical services,scientometrics,0.003603866861346119
library trends,scientometrics,0.006850993704034832
