Source,Target,weight
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,college & research libraries,0.016732187334458217
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,electronic library,0.014260997240803914
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information processing & management,0.059915136905495305
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information systems research,0.001717954413976642
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information technology and libraries,0.03694634514427596
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,international journal of information management,0.006051804279668746
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of academic librarianship,0.003964541134536414
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of documentation,0.0030573463733700942
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of information science,0.01922250145663169
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of information technology,0.008266125373597619
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of the american medical informatics association,0.011770228007480132
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,law library journal,0.004537305961296937
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library & information science research,0.02795707793825683
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library and information science,0.004002209829907593
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library quarterly,0.04066194609141216
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library trends,0.01718154881700318
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,mis quarterly,0.0016032580525245272
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,scientometrics,0.0165887990458231
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,social science computer review,0.008834004988634698
college & research libraries,electronic library,0.005925672322331515
college & research libraries,european journal of information systems,0.001051010023799981
college & research libraries,government information quarterly,0.006644004964203044
college & research libraries,information & management,0.0038610440096505314
college & research libraries,information processing & management,0.01298905938573881
college & research libraries,information systems journal,0.00381928281017913
college & research libraries,information systems research,0.004283025127920765
