Source,Target,weight
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,college & research libraries,0.022917953726498016
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,electronic library,0.010453739046637177
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,european journal of information systems,0.0031786438958110895
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,government information quarterly,0.005645664340839744
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information & management,0.007756757674649246
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information processing & management,0.06412168681370384
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information research-an international electronic journal,0.02549725511929736
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information society,0.01952343985596837
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information systems journal,0.008361513234726503
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information systems research,0.0017813147138688763
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,information technology and libraries,0.035950016094320726
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,international journal of information management,0.004083118105752344
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of academic librarianship,0.02178083120960019
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of documentation,0.023004531452204744
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of health communication,0.004535179780458236
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of information science,0.0251322063309295
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of information technology,0.00820744175476255
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of librarianship and information science,0.018099568099181687
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of management information systems,0.0037065602285950186
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of the american medical informatics association,0.0019346413480056108
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,journal of the medical library association,0.005396067483920132
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,knowledge organization,0.014387463446071306
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,law library journal,0.003950502160492693
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,learned publishing,0.013384890094483508
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library & information science research,0.0494177075604343
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library and information science,0.004466244398258347
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library quarterly,0.027410625648067715
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library resources & technical services,0.01442270355910445
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,library trends,0.014538631400564484
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,mis quarterly,0.0038157239905825674
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,online information review,0.035439938033191266
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,portal-libraries and the academy,0.007525340745148765
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,qualitative health research,0.016712097849893585
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,research evaluation,0.005579630907348032
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,scientometrics,0.03550183693935072
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,social science computer review,0.010506626517688078
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,telecommunications policy,0.003681375123798119
canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,zeitschrift fur bibliothekswesen und bibliographie,0.007400304898842878
college & research libraries,electronic library,0.038349641974621734
college & research libraries,european journal of information systems,0.001727538611008216
college & research libraries,government information quarterly,0.00920496613015931
college & research libraries,information & management,0.003914546235066042
