Source,Target,weight
african journal of library archives and information science,canadian journal of information and library science-revue canadienne des sciences de l information et de bibliotheconomie,0.0023931938620591273
african journal of library archives and information science,college & research libraries,0.01656472891122698
african journal of library archives and information science,electronic library,0.01382602259640567
african journal of library archives and information science,european journal of information systems,0.005621202408060037
african journal of library archives and information science,government information quarterly,0.004858130384905748
african journal of library archives and information science,health information and libraries journal,0.006198757273737437
african journal of library archives and information science,informacao & sociedade-estudos,0.003042903097250923
african journal of library archives and information science,informacios tarsadalom,0.00839921051131616
african journal of library archives and information science,information & management,0.011040039620565285
african journal of library archives and information science,information and organization,0.01448334524249516
african journal of library archives and information science,information development,0.006385508568141009
african journal of library archives and information science,information processing & management,0.006906876214195042
african journal of library archives and information science,information research-an international electronic journal,0.011717221513846132
african journal of library archives and information science,information society,0.0060621719064042085
african journal of library archives and information science,information systems journal,0.012039666893890506
african journal of library archives and information science,information systems research,0.006918326955503611
african journal of library archives and information science,information technology & people,0.003078380643597401
african journal of library archives and information science,international journal of computer-supported collaborative learning,0.0044844852933087495
african journal of library archives and information science,international journal of information management,0.010748494728332524
african journal of library archives and information science,investigacion bibliotecologica,0.01318760946791574
african journal of library archives and information science,journal of academic librarianship,0.01272855850519461
african journal of library archives and information science,journal of computer-mediated communication,0.0030008042295270134
african journal of library archives and information science,journal of documentation,0.012204143628818161
african journal of library archives and information science,journal of global information management,0.004218245406095979
african journal of library archives and information science,journal of health communication,0.003878608377099295
african journal of library archives and information science,journal of information science,0.014486397902502184
african journal of library archives and information science,journal of information technology,0.0032646807124959453
african journal of library archives and information science,journal of informetrics,0.03134243811045334
african journal of library archives and information science,journal of knowledge management,0.05816685811854877
african journal of library archives and information science,journal of librarianship and information science,0.016396995274947153
african journal of library archives and information science,journal of management information systems,0.005710717630444658
african journal of library archives and information science,journal of scholarly publishing,0.023408229439226113
african journal of library archives and information science,journal of strategic information systems,0.011882050096658651
african journal of library archives and information science,journal of the american medical informatics association,0.001517898134162623
african journal of library archives and information science,journal of the association for information systems,0.007560391638430569
african journal of library archives and information science,journal of the medical library association,0.002866223869282318
african journal of library archives and information science,knowledge management research & practice,0.023118358703464514
african journal of library archives and information science,knowledge organization,0.0022511733781772477
african journal of library archives and information science,law library journal,0.0036315647380189553
african journal of library archives and information science,learned publishing,0.006751595780557777
